(C:\ProgramData\Anaconda3) C:\Users\Sea\GitHub\DeepLearning_Wavelet-LSTM\v0.5.7>python tensorflow_train_LSTMs.py
<class 'numpy.ndarray'>
(10, 2560, 83)
WARNING:tensorflow:From C:\Users\Sea\GitHub\DeepLearning_Wavelet-LSTM\v0.5.7\tensorflow_LSTMs.py:59: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See @{tf.nn.softmax_cross_entropy_with_logits_v2}.

2018-05-20 07:00:49.767214: I T:\src\github\tensorflow\tensorflow\core\platform\cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
Step 1, Minibatch Loss= 0.7150, Training Accuracy= 0.780
Step 10, Minibatch Loss= 0.7531, Training Accuracy= 0.604
Step 20, Minibatch Loss= 0.6526, Training Accuracy= 0.838
Step 30, Minibatch Loss= 0.7162, Training Accuracy= 0.710
Step 40, Minibatch Loss= 0.5128, Training Accuracy= 0.792
Step 50, Minibatch Loss= 0.6462, Training Accuracy= 0.804
Step 60, Minibatch Loss= 0.5136, Training Accuracy= 0.854
Step 70, Minibatch Loss= 0.4547, Training Accuracy= 0.817
Step 80, Minibatch Loss= 0.4703, Training Accuracy= 0.802
Step 90, Minibatch Loss= 0.6366, Training Accuracy= 0.735
Step 100, Minibatch Loss= 0.7101, Training Accuracy= 0.654
Step 110, Minibatch Loss= 0.5694, Training Accuracy= 0.983
Step 120, Minibatch Loss= 0.7017, Training Accuracy= 0.852
Step 130, Minibatch Loss= 0.5535, Training Accuracy= 0.784
Step 140, Minibatch Loss= 0.4046, Training Accuracy= 0.830
Step 150, Minibatch Loss= 0.5254, Training Accuracy= 0.764
Step 160, Minibatch Loss= 0.6102, Training Accuracy= 0.800
Step 170, Minibatch Loss= 0.6324, Training Accuracy= 0.803
Step 180, Minibatch Loss= 0.6254, Training Accuracy= 0.676
Step 190, Minibatch Loss= 0.4064, Training Accuracy= 0.826
Step 200, Minibatch Loss= 0.3660, Training Accuracy= 0.847
Model saved in file: tf_model_lstm/model_200.ckpt
Step 210, Minibatch Loss= 0.4068, Training Accuracy= 0.837
Step 220, Minibatch Loss= 0.5272, Training Accuracy= 0.758
Step 230, Minibatch Loss= 0.6878, Training Accuracy= 0.656
Step 240, Minibatch Loss= 0.3641, Training Accuracy= 0.838
Step 250, Minibatch Loss= 0.4923, Training Accuracy= 0.797
Step 260, Minibatch Loss= 0.6621, Training Accuracy= 0.642
Step 270, Minibatch Loss= 0.6223, Training Accuracy= 0.741
Step 280, Minibatch Loss= 0.6638, Training Accuracy= 0.697
Step 290, Minibatch Loss= 0.9325, Training Accuracy= 0.803
Step 300, Minibatch Loss= 0.3507, Training Accuracy= 0.853
Step 310, Minibatch Loss= 0.3516, Training Accuracy= 0.861
Step 320, Minibatch Loss= 0.3891, Training Accuracy= 0.833
Step 330, Minibatch Loss= 0.5046, Training Accuracy= 0.734
Step 340, Minibatch Loss= 0.5843, Training Accuracy= 0.806
Step 350, Minibatch Loss= 0.4839, Training Accuracy= 0.761
Step 360, Minibatch Loss= 0.6379, Training Accuracy= 0.690
Step 370, Minibatch Loss= 0.5487, Training Accuracy= 0.751
Step 380, Minibatch Loss= 0.5169, Training Accuracy= 0.690
Step 390, Minibatch Loss= 0.6011, Training Accuracy= 0.878
Step 400, Minibatch Loss= 0.3671, Training Accuracy= 0.838
Step 410, Minibatch Loss= 0.5274, Training Accuracy= 0.762
Step 420, Minibatch Loss= 0.5374, Training Accuracy= 0.755
Step 430, Minibatch Loss= 0.9175, Training Accuracy= 0.781
Step 440, Minibatch Loss= 0.4556, Training Accuracy= 0.813
Step 450, Minibatch Loss= 0.4785, Training Accuracy= 0.791
Step 460, Minibatch Loss= 0.5190, Training Accuracy= 0.771
Step 470, Minibatch Loss= 0.3312, Training Accuracy= 0.861
Step 480, Minibatch Loss= 0.3032, Training Accuracy= 0.873
Step 490, Minibatch Loss= 0.5286, Training Accuracy= 0.824
Step 500, Minibatch Loss= 0.5362, Training Accuracy= 0.750
Model saved in file: tf_model_lstm/model_500.ckpt
Step 510, Minibatch Loss= 0.4717, Training Accuracy= 0.816
Step 520, Minibatch Loss= 0.3410, Training Accuracy= 0.859
Step 530, Minibatch Loss= 0.3232, Training Accuracy= 0.864
Step 540, Minibatch Loss= 0.4217, Training Accuracy= 0.824
Step 550, Minibatch Loss= 0.5152, Training Accuracy= 0.791
Step 560, Minibatch Loss= 0.5157, Training Accuracy= 0.761
Step 570, Minibatch Loss= 0.3958, Training Accuracy= 0.830
Step 580, Minibatch Loss= 0.8830, Training Accuracy= 0.782
Step 590, Minibatch Loss= 0.6373, Training Accuracy= 0.620
Step 600, Minibatch Loss= 0.4896, Training Accuracy= 0.689
Step 610, Minibatch Loss= 0.4017, Training Accuracy= 0.828
Step 620, Minibatch Loss= 0.8161, Training Accuracy= 0.575
Step 630, Minibatch Loss= 0.3118, Training Accuracy= 0.854
Step 640, Minibatch Loss= 0.4803, Training Accuracy= 0.834
